Heel to Starboard	0,0	1,0	2,0	3,0	4,0	5,0	6,0	7,0	8,0	9,0	10,0	20,0	30,0	40,0	50,0	60,0	70,0	80,0	90,0	100,0	110,0	120,0	130,0	140,0	150,0	160,0	170,0	180,0
deg																												
GZ m	0,000	0,030	0,061	0,091	0,121	0,151	0,181	0,210	0,239	0,267	0,295	0,531	0,693	0,804	0,888	0,963	1,025	1,012	0,924	0,796	0,634	0,445	0,237	0,018	-0,195	-0,382	-0,483	0,000
Area under GZ curve from zero heel m.deg	0,0000	0,0152	0,0610	0,1371	0,2434	0,3797	0,5458	0,7412	0,9656	1,2185	1,4993	5,6276	11,7495	19,2350	27,6929	36,9464	46,8839	57,0653	66,7417	75,3381	82,4873	87,8853	91,2952	92,5696	91,6843	88,7962	84,4676	82,0505
Displacement t	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920	1,920
Draft at FP m	2,320	2,320	2,320	2,320	2,320	2,320	2,321	2,321	2,322	2,323	2,323	2,334	2,341	2,336	2,308	2,232	2,029	1,287	n/a	-4,581	-3,819	-3,589	-3,490	-3,442	-3,421	-3,417	-3,432	-3,463
Draft at AP m	2,326	2,325	2,324	2,321	2,318	2,314	2,308	2,302	2,295	2,287	2,278	2,141	1,920	1,596	1,108	0,296	-1,255	-5,728	n/a	-11,599	-7,126	-5,576	-4,759	-4,236	-3,862	-3,577	-3,358	-3,260
WL Length m	8,663	8,667	8,673	8,680	8,686	8,691	8,694	8,696	8,697	8,696	8,695	8,873	9,127	9,190	9,059	8,627	8,165	7,921	8,589	9,329	9,625	9,621	9,601	9,582	9,568	9,560	9,559	9,562
Beam max extents on WL m	2,099	2,098	2,096	2,091	2,084	2,075	2,065	2,052	2,038	2,023	2,006	1,813	1,725	1,991	2,381	2,643	3,437	1,347	1,291	1,253	1,221	1,164	1,079	1,058	1,122	1,282	1,721	3,146
Wetted Area m^2	17,661	17,661	17,655	17,644	17,627	17,603	17,574	17,538	17,498	17,451	17,401	16,656	15,849	15,089	14,234	13,400	11,848	11,129	11,131	11,189	11,256	11,338	11,483	11,781	12,355	13,501	16,354	24,612
Waterpl. Area m^2	12,317	12,316	12,310	12,296	12,275	12,247	12,212	12,170	12,120	12,064	12,003	11,188	10,382	9,984	9,953	9,843	9,273	8,477	7,975	7,638	7,416	7,309	7,371	7,700	8,441	9,933	13,410	22,445
Prismatic coeff. (Cp)	0,387	0,386	0,386	0,386	0,386	0,385	0,385	0,385	0,385	0,385	0,386	0,379	0,368	0,366	0,378	0,413	0,507	0,575	0,545	0,522	0,531	0,560	0,593	0,628	0,666	0,709	0,759	0,731
Block coeff. (Cb)	0,044	0,044	0,044	0,045	0,045	0,045	0,045	0,046	0,046	0,047	0,047	0,055	0,064	0,067	0,077	0,122	0,177	0,469	0,378	0,305	0,275	0,275	0,297	0,319	0,335	0,356	0,379	0,389
LCB from zero pt. (+ve fwd) m	-4,808	-4,809	-4,809	-4,809	-4,809	-4,809	-4,809	-4,809	-4,809	-4,810	-4,809	-4,809	-4,805	-4,793	-4,774	-4,747	-4,715	-4,683	-4,656	-4,639	-4,635	-4,645	-4,669	-4,703	-4,743	-4,784	-4,820	-4,840
LCF from zero pt. (+ve fwd) m	-5,082	-5,083	-5,083	-5,083	-5,083	-5,083	-5,082	-5,081	-5,079	-5,076	-5,074	-5,018	-4,940	-4,862	-4,780	-4,660	-4,536	-4,473	-4,432	-4,414	-4,409	-4,432	-4,490	-4,578	-4,692	-4,832	-5,051	-5,808
Max deck inclination deg	0,0403	1,0007	2,0002	3,0000	4,0000	5,0002	6,0005	7,0011	8,0019	9,0030	10,0043	20,0340	30,0867	40,1435	50,1868	60,2018	70,1708	80,0971	90,0000	99,9028	109,8268	119,7877	129,7916	139,8349	149,9048	159,9766	169,9887	178,6656
Trim angle (+ve by stern) deg	0,0403	0,0382	0,0279	0,0108	-0,0131	-0,0440	-0,0816	-0,1260	-0,1771	-0,2348	-0,2994	-1,2679	-2,7672	-4,8494	-7,8369	-12,5180	-20,6363	-38,8161	-90,0000	-38,8259	-20,7698	-12,8338	-8,2759	-5,2005	-2,8996	-1,0525	0,4864	1,3344
